CUDA: True
Run 002
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
Generating dataset: 762 clean + 816 jammed = 1578 total
  Generating 762 clean OFDM samples...
    clean: 100/762
    clean: 200/762
    clean: 300/762
    clean: 400/762
    clean: 500/762
    clean: 600/762
    clean: 700/762
  Generating 816 jammed OFDM samples...
    jammed: 100/816
    jammed: 200/816
    jammed: 300/816
    jammed: 400/816
    jammed: 500/816
    jammed: 600/816
    jammed: 700/816
    jammed: 800/816
Dataset generated in 5.7s
Train: 1104, Test: 474
EfficientNet-B0: 4,010,110 params

Training 100 epochs...

Epoch  41/100 | train_loss=0.0077 train_acc=99.8% | val_loss=0.0157 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  42/100 | train_loss=0.0063 train_acc=99.9% | val_loss=0.0244 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  43/100 | train_loss=0.0079 train_acc=99.8% | val_loss=0.0063 val_acc=99.8% DR=99.6% FAR=0.00% | 3.2s
Epoch  44/100 | train_loss=0.0041 train_acc=100.0% | val_loss=0.0105 val_acc=99.2% DR=98.4% FAR=0.00% | 3.4s
Epoch  45/100 | train_loss=0.0062 train_acc=99.8% | val_loss=0.0121 val_acc=99.2% DR=98.4% FAR=0.00% | 3.2s
Epoch  46/100 | train_loss=0.0030 train_acc=100.0% | val_loss=0.0053 val_acc=99.8% DR=99.6% FAR=0.00% | 3.1s
Epoch  47/100 | train_loss=0.0033 train_acc=99.9% | val_loss=0.0177 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  48/100 | train_loss=0.0055 train_acc=100.0% | val_loss=0.0096 val_acc=99.4% DR=98.8% FAR=0.00% | 3.1s
Epoch  49/100 | train_loss=0.0070 train_acc=100.0% | val_loss=0.0191 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  50/100 | train_loss=0.0026 train_acc=100.0% | val_loss=0.0158 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  51/100 | train_loss=0.0107 train_acc=99.7% | val_loss=0.0050 val_acc=99.8% DR=99.6% FAR=0.00% | 3.1s
Epoch  52/100 | train_loss=0.0038 train_acc=100.0% | val_loss=0.0145 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
Epoch  53/100 | train_loss=0.0038 train_acc=100.0% | val_loss=0.0107 val_acc=99.2% DR=98.4% FAR=0.00% | 2.9s
Epoch  54/100 | train_loss=0.0045 train_acc=99.9% | val_loss=0.0130 val_acc=99.2% DR=98.4% FAR=0.00% | 3.1s
