node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
ebno_5: no=0.231 e_thresh=2.6169 | clean BER 0.08539 FAR cnn 0.1313 energy 0.0117 suite 0.1431
  N_J=1 n= 1 p=0.01      | BER 0.0876 cnn 0.150 en 0.010 suite 0.160 JSR -36.9 dB
  N_J=1 n= 2 p=0.01      | BER 0.0807 cnn 0.117 en 0.012 suite 0.129 JSR -34.6 dB
  N_J=1 n= 4 p=0.01      | BER 0.0858 cnn 0.135 en 0.008 suite 0.141 JSR -31.1 dB
  N_J=1 n= 8 p=0.01      | BER 0.0865 cnn 0.135 en 0.014 suite 0.148 JSR -28.2 dB
  N_J=1 n=16 p=0.01      | BER 0.0849 cnn 0.137 en 0.021 suite 0.156 JSR -25.3 dB
  N_J=1 n=32 p=0.01      | BER 0.0882 cnn 0.154 en 0.012 suite 0.166 JSR -22.2 dB
  N_J=1 n=52 p=0.01      | BER 0.0920 cnn 0.154 en 0.012 suite 0.166 JSR -20.0 dB
  N_J=1 n= 1 p=0.017783  | BER 0.0832 cnn 0.143 en 0.016 suite 0.158 JSR -34.7 dB
  N_J=1 n= 2 p=0.017783  | BER 0.0874 cnn 0.148 en 0.012 suite 0.160 JSR -31.4 dB
  N_J=1 n= 4 p=0.017783  | BER 0.0842 cnn 0.115 en 0.012 suite 0.127 JSR -29.0 dB
  N_J=1 n= 8 p=0.017783  | BER 0.0868 cnn 0.137 en 0.008 suite 0.145 JSR -25.7 dB
  N_J=1 n=16 p=0.017783  | BER 0.0906 cnn 0.141 en 0.016 suite 0.156 JSR -22.4 dB
  N_J=1 n=32 p=0.017783  | BER 0.0862 cnn 0.123 en 0.004 suite 0.127 JSR -19.8 dB
  N_J=1 n=52 p=0.017783  | BER 0.0931 cnn 0.154 en 0.008 suite 0.162 JSR -17.2 dB
  N_J=1 n= 1 p=0.031623  | BER 0.0890 cnn 0.137 en 0.004 suite 0.141 JSR -32.0 dB
  N_J=1 n= 2 p=0.031623  | BER 0.0837 cnn 0.135 en 0.008 suite 0.143 JSR -29.3 dB
  N_J=1 n= 4 p=0.031623  | BER 0.0876 cnn 0.154 en 0.010 suite 0.164 JSR -26.2 dB
  N_J=1 n= 8 p=0.031623  | BER 0.0892 cnn 0.158 en 0.010 suite 0.166 JSR -23.0 dB
  N_J=1 n=16 p=0.031623  | BER 0.0879 cnn 0.166 en 0.004 suite 0.170 JSR -20.1 dB
  N_J=1 n=32 p=0.031623  | BER 0.0931 cnn 0.152 en 0.012 suite 0.164 JSR -17.0 dB
  N_J=1 n=52 p=0.031623  | BER 0.0974 cnn 0.162 en 0.014 suite 0.176 JSR -14.8 dB
  N_J=1 n= 1 p=0.056234  | BER 0.0823 cnn 0.119 en 0.016 suite 0.135 JSR -29.8 dB
  N_J=1 n= 2 p=0.056234  | BER 0.0862 cnn 0.135 en 0.020 suite 0.154 JSR -26.6 dB
  N_J=1 n= 4 p=0.056234  | BER 0.0869 cnn 0.119 en 0.012 suite 0.129 JSR -23.6 dB
  N_J=1 n= 8 p=0.056234  | BER 0.0891 cnn 0.133 en 0.018 suite 0.150 JSR -20.6 dB
  N_J=1 n=16 p=0.056234  | BER 0.0940 cnn 0.158 en 0.012 suite 0.166 JSR -17.5 dB
  N_J=1 n=32 p=0.056234  | BER 0.0991 cnn 0.180 en 0.008 suite 0.186 JSR -14.6 dB
  N_J=1 n=52 p=0.056234  | BER 0.1025 cnn 0.205 en 0.002 suite 0.207 JSR -12.4 dB
  N_J=1 n= 1 p=0.1       | BER 0.0844 cnn 0.145 en 0.016 suite 0.160 JSR -27.6 dB
  N_J=1 n= 2 p=0.1       | BER 0.0892 cnn 0.143 en 0.012 suite 0.154 JSR -23.9 dB
  N_J=1 n= 4 p=0.1       | BER 0.0922 cnn 0.158 en 0.004 suite 0.162 JSR -21.0 dB
  N_J=1 n= 8 p=0.1       | BER 0.0920 cnn 0.143 en 0.012 suite 0.154 JSR -18.2 dB
  N_J=1 n=16 p=0.1       | BER 0.0899 cnn 0.168 en 0.014 suite 0.182 JSR -15.4 dB
  N_J=1 n=32 p=0.1       | BER 0.1022 cnn 0.246 en 0.000 suite 0.246 JSR -12.0 dB
  N_J=1 n=52 p=0.1       | BER 0.1161 cnn 0.275 en 0.010 suite 0.285 JSR -9.9 dB
  N_J=1 n= 1 p=0.177828  | BER 0.0893 cnn 0.129 en 0.006 suite 0.135 JSR -24.7 dB
  N_J=1 n= 2 p=0.177828  | BER 0.0871 cnn 0.146 en 0.012 suite 0.158 JSR -21.7 dB
  N_J=1 n= 4 p=0.177828  | BER 0.0879 cnn 0.139 en 0.002 suite 0.139 JSR -18.7 dB
  N_J=1 n= 8 p=0.177828  | BER 0.0910 cnn 0.143 en 0.012 suite 0.154 JSR -15.9 dB
  N_J=1 n=16 p=0.177828  | BER 0.0979 cnn 0.203 en 0.010 suite 0.213 JSR -12.5 dB
  N_J=1 n=32 p=0.177828  | BER 0.1106 cnn 0.268 en 0.012 suite 0.279 JSR -9.7 dB
  N_J=1 n=52 p=0.177828  | BER 0.1304 cnn 0.400 en 0.021 suite 0.420 JSR -7.4 dB
  N_J=1 n= 1 p=0.316228  | BER 0.0867 cnn 0.150 en 0.018 suite 0.168 JSR -22.2 dB
  N_J=1 n= 2 p=0.316228  | BER 0.0878 cnn 0.166 en 0.020 suite 0.186 JSR -19.3 dB
  N_J=1 n= 4 p=0.316228  | BER 0.0896 cnn 0.154 en 0.012 suite 0.166 JSR -16.2 dB
  N_J=1 n= 8 p=0.316228  | BER 0.0960 cnn 0.221 en 0.008 suite 0.229 JSR -12.9 dB
  N_J=1 n=16 p=0.316228  | BER 0.1045 cnn 0.281 en 0.012 suite 0.291 JSR -10.2 dB
  N_J=1 n=32 p=0.316228  | BER 0.1251 cnn 0.387 en 0.020 suite 0.406 JSR -7.3 dB
  N_J=1 n=52 p=0.316228  | BER 0.1487 cnn 0.564 en 0.025 suite 0.590 JSR -5.3 dB
  N_J=1 n= 1 p=0.562341  | BER 0.0877 cnn 0.146 en 0.008 suite 0.154 JSR -19.5 dB
  N_J=1 n= 2 p=0.562341  | BER 0.0868 cnn 0.154 en 0.004 suite 0.158 JSR -16.8 dB
  N_J=1 n= 4 p=0.562341  | BER 0.0929 cnn 0.164 en 0.012 suite 0.176 JSR -13.6 dB
  N_J=1 n= 8 p=0.562341  | BER 0.0999 cnn 0.230 en 0.014 suite 0.244 JSR -10.6 dB
  N_J=1 n=16 p=0.562341  | BER 0.1183 cnn 0.359 en 0.008 suite 0.367 JSR -7.6 dB
  N_J=1 n=32 p=0.562341  | BER 0.1519 cnn 0.518 en 0.018 suite 0.533 JSR -4.5 dB
  N_J=1 n=52 p=0.562341  | BER 0.1929 cnn 0.721 en 0.053 suite 0.752 JSR -2.4 dB
  N_J=1 n= 1 p=1         | BER 0.0929 cnn 0.141 en 0.010 suite 0.150 JSR -16.9 dB
