node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
ebno_0: no=0.729 e_thresh=3.0690 | clean BER 0.18420 FAR cnn 0.4238 energy 0.0081 suite 0.4314
  N_J=1 n= 1 p=0.01      | BER 0.1802 cnn 0.441 en 0.021 suite 0.459 JSR -37.0 dB
  N_J=1 n= 2 p=0.01      | BER 0.1813 cnn 0.439 en 0.008 suite 0.447 JSR -34.2 dB
  N_J=1 n= 4 p=0.01      | BER 0.1830 cnn 0.430 en 0.008 suite 0.436 JSR -31.2 dB
  N_J=1 n= 8 p=0.01      | BER 0.1796 cnn 0.414 en 0.004 suite 0.418 JSR -28.1 dB
  N_J=1 n=16 p=0.01      | BER 0.1797 cnn 0.434 en 0.008 suite 0.441 JSR -25.1 dB
  N_J=1 n=32 p=0.01      | BER 0.1897 cnn 0.455 en 0.012 suite 0.467 JSR -21.8 dB
  N_J=1 n=52 p=0.01      | BER 0.1863 cnn 0.482 en 0.004 suite 0.486 JSR -20.1 dB
  N_J=1 n= 1 p=0.017783  | BER 0.1846 cnn 0.465 en 0.008 suite 0.469 JSR -34.3 dB
  N_J=1 n= 2 p=0.017783  | BER 0.1789 cnn 0.455 en 0.014 suite 0.469 JSR -31.5 dB
  N_J=1 n= 4 p=0.017783  | BER 0.1830 cnn 0.441 en 0.016 suite 0.455 JSR -28.4 dB
  N_J=1 n= 8 p=0.017783  | BER 0.1865 cnn 0.447 en 0.014 suite 0.459 JSR -25.7 dB
  N_J=1 n=16 p=0.017783  | BER 0.1818 cnn 0.463 en 0.008 suite 0.469 JSR -22.4 dB
  N_J=1 n=32 p=0.017783  | BER 0.1847 cnn 0.434 en 0.006 suite 0.439 JSR -19.6 dB
  N_J=1 n=52 p=0.017783  | BER 0.1863 cnn 0.438 en 0.008 suite 0.445 JSR -17.5 dB
  N_J=1 n= 1 p=0.031623  | BER 0.1787 cnn 0.418 en 0.004 suite 0.422 JSR -32.2 dB
  N_J=1 n= 2 p=0.031623  | BER 0.1830 cnn 0.453 en 0.008 suite 0.461 JSR -29.0 dB
  N_J=1 n= 4 p=0.031623  | BER 0.1830 cnn 0.441 en 0.014 suite 0.455 JSR -26.4 dB
  N_J=1 n= 8 p=0.031623  | BER 0.1838 cnn 0.434 en 0.018 suite 0.447 JSR -23.4 dB
  N_J=1 n=16 p=0.031623  | BER 0.1879 cnn 0.438 en 0.004 suite 0.439 JSR -19.7 dB
  N_J=1 n=32 p=0.031623  | BER 0.1842 cnn 0.436 en 0.004 suite 0.439 JSR -17.0 dB
  N_J=1 n=52 p=0.031623  | BER 0.1853 cnn 0.480 en 0.012 suite 0.492 JSR -15.1 dB
