node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
  N_J=1 n= 4 p=0.562341  | BER 0.1365 cnn 0.307 en 0.018 suite 0.322 JSR -13.7 dB
  N_J=1 n= 8 p=0.562341  | BER 0.1423 cnn 0.355 en 0.025 suite 0.381 JSR -10.6 dB
  N_J=1 n=16 p=0.562341  | BER 0.1537 cnn 0.426 en 0.021 suite 0.443 JSR -7.5 dB
  N_J=1 n=32 p=0.562341  | BER 0.1804 cnn 0.600 en 0.031 suite 0.617 JSR -4.5 dB
  N_J=1 n=52 p=0.562341  | BER 0.2039 cnn 0.723 en 0.045 suite 0.742 JSR -2.7 dB
  N_J=1 n= 1 p=1         | BER 0.1310 cnn 0.283 en 0.004 suite 0.287 JSR -17.1 dB
  N_J=1 n= 2 p=1         | BER 0.1310 cnn 0.299 en 0.023 suite 0.322 JSR -14.5 dB
  N_J=1 n= 4 p=1         | BER 0.1370 cnn 0.316 en 0.018 suite 0.334 JSR -11.1 dB
  N_J=1 n= 8 p=1         | BER 0.1454 cnn 0.414 en 0.018 suite 0.426 JSR -8.1 dB
  N_J=1 n=16 p=1         | BER 0.1603 cnn 0.506 en 0.035 suite 0.533 JSR -5.3 dB
  N_J=1 n=32 p=1         | BER 0.2001 cnn 0.744 en 0.059 suite 0.762 JSR -1.9 dB
  N_J=1 n=52 p=1         | BER 0.2418 cnn 0.887 en 0.176 suite 0.906 JSR -0.1 dB
  N_J=1 n= 1 p=1.77828   | BER 0.1306 cnn 0.285 en 0.012 suite 0.297 JSR -14.8 dB
  N_J=1 n= 2 p=1.77828   | BER 0.1352 cnn 0.342 en 0.008 suite 0.350 JSR -11.8 dB
  N_J=1 n= 4 p=1.77828   | BER 0.1401 cnn 0.385 en 0.023 suite 0.406 JSR -8.5 dB
  N_J=1 n= 8 p=1.77828   | BER 0.1512 cnn 0.488 en 0.029 suite 0.514 JSR -5.8 dB
  N_J=1 n=16 p=1.77828   | BER 0.1780 cnn 0.709 en 0.064 suite 0.736 JSR -2.5 dB
  N_J=1 n=32 p=1.77828   | BER 0.2223 cnn 0.854 en 0.191 suite 0.887 JSR +0.3 dB
  N_J=1 n=52 p=1.77828   | BER 0.2775 cnn 0.941 en 0.389 suite 0.959 JSR +2.1 dB
  N_J=1 n= 1 p=3.16228   | BER 0.1326 cnn 0.293 en 0.016 suite 0.309 JSR -12.2 dB
  N_J=1 n= 2 p=3.16228   | BER 0.1319 cnn 0.359 en 0.014 suite 0.369 JSR -9.4 dB
  N_J=1 n= 4 p=3.16228   | BER 0.1478 cnn 0.504 en 0.018 suite 0.518 JSR -6.0 dB
  N_J=1 n= 8 p=3.16228   | BER 0.1571 cnn 0.643 en 0.041 suite 0.666 JSR -3.3 dB
  N_J=1 n=16 p=3.16228   | BER 0.1849 cnn 0.809 en 0.133 suite 0.832 JSR -0.4 dB
  N_J=1 n=32 p=3.16228   | BER 0.2461 cnn 0.938 en 0.453 suite 0.957 JSR +2.8 dB
  N_J=1 n=52 p=3.16228   | BER 0.3251 cnn 0.975 en 0.719 suite 0.990 JSR +5.0 dB
  N_J=1 n= 1 p=5.62341   | BER 0.1341 cnn 0.350 en 0.016 suite 0.365 JSR -9.9 dB
  N_J=1 n= 2 p=5.62341   | BER 0.1387 cnn 0.518 en 0.031 suite 0.541 JSR -6.5 dB
  N_J=1 n= 4 p=5.62341   | BER 0.1462 cnn 0.641 en 0.049 suite 0.662 JSR -3.6 dB
  N_J=1 n= 8 p=5.62341   | BER 0.1629 cnn 0.770 en 0.131 suite 0.795 JSR -0.7 dB
  N_J=1 n=16 p=5.62341   | BER 0.2012 cnn 0.914 en 0.393 suite 0.934 JSR +2.4 dB
  N_J=1 n=32 p=5.62341   | BER 0.2806 cnn 0.988 en 0.719 suite 0.994 JSR +5.9 dB
  N_J=1 n=52 p=5.62341   | BER 0.3669 cnn 0.996 en 0.904 suite 0.996 JSR +7.8 dB
  N_J=1 n= 1 p=10        | BER 0.1321 cnn 0.439 en 0.023 suite 0.459 JSR -7.4 dB
  N_J=1 n= 2 p=10        | BER 0.1405 cnn 0.631 en 0.039 suite 0.645 JSR -3.9 dB
  N_J=1 n= 4 p=10        | BER 0.1471 cnn 0.758 en 0.121 suite 0.787 JSR -1.1 dB
  N_J=1 n= 8 p=10        | BER 0.1726 cnn 0.904 en 0.316 suite 0.928 JSR +1.9 dB
  N_J=1 n=16 p=10        | BER 0.2107 cnn 0.969 en 0.691 suite 0.977 JSR +4.7 dB
